Gender,Age,Income (USD),Income Stability,Property Age,Property Location,Property Price,Loan Sanction Amount (USD)
F,61,3603.04,High,3592.04,Semi-Urban,146514.5,59813.11859658573
F,55,2933.99,Low,2930.99,Urban,23597.25,7248.18140074535
M,28,2128.69,Low,2116.69,Semi-Urban,270031.3,90962.04981454766
M,45,1436.35,Low,1431.35,Rural,219980.45,72375.9066863629
F,23,2431.38,Low,2428.38,Urban,101561.28,35454.70204063397
M,64,3120.29,Low,3119.29,Urban,33544.89,9832.98087566509
F,46,1828.4,Low,1813.4,Urban,165699.59,54557.410800507496
F,18,2145.05,Low,2140.05,Rural,123128.48,42938.9746981992
F,27,1542.4,Low,1533.4,Urban,79771.8,26906.82713849125
M,26,1618.71,Low,1628.71,Rural,48137.16,16348.765910047045
F,18,3485.44,Low,3499.44,Semi-Urban,54668.2,21046.92220237587
F,65,1209.76,High,1221.76,Rural,92027.33,39034.01539551106
F,29,2826.92,Low,2823.92,Semi-Urban,165960.16,56879.04551112503
M,46,2179.7,Low,2169.7,Urban,179730.65,59396.08766062807
F,64,1941.96,Low,1941.96,Urban,128324.82,40702.65035730446
F,20,3215.57,Low,3218.57,Rural,153779.61,54175.61018931437
F,30,2642.84,Low,2643.84,Semi-Urban,91468.74,31591.16258842685
M,64,2830.65,Low,2841.65,Rural,195343.29,64030.89601517846
F,65,2785.75,High,2782.75,Rural,67569.75,32422.27368545201
M,61,1601.43,High,1586.43,Rural,27655.63,17877.576003590264
F,30,3256.62,Low,3252.62,Semi-Urban,248430.73,84941.70545886608
M,33,1061.53,Low,1051.53,Rural,83851.47,27211.93441469922
M,65,4185.56,High,4189.56,Semi-Urban,354623.49,129770.10142963217
F,45,2843.3,Low,2847.3,Urban,112829.29,37924.22978988797
M,61,1241.24,Low,1231.24,Rural,22804.9,4674.438913190454
M,41,1195.28,Low,1190.28,Semi-Urban,150151.92,48713.825576088806
M,38,3080.8,Low,3081.8,Urban,223933.56,75804.28384810181
M,32,2196.9,Low,2188.9,Semi-Urban,216020.58,72574.55038057841
M,45,1930.62,Low,1945.62,Semi-Urban,142969.86,46747.00876087167
F,27,1829.43,Low,1823.43,Semi-Urban,97865.97,33142.05556149059
M,28,1655.46,Low,1661.46,Urban,150314.57,50410.88192589209
M,18,1555.96,Low,1543.96,Semi-Urban,204201.43,69054.39142734352
F,37,2791.43,Low,2798.43,Rural,121087.55,41417.48553404271
M,47,3121.49,Low,3118.49,Semi-Urban,273039.53,91489.33466620233
F,36,2716.9,Low,2724.9,Rural,129410.44,44216.6535734725
M,53,2057.56,Low,2060.56,Semi-Urban,61855.62,18990.55246441454
M,53,3674.1,Low,3685.1,Semi-Urban,53221.38,17747.2905523482
M,27,4000.03,Low,3996.03,Urban,32817.02,13413.436463600325
M,43,3027.42,Low,3040.42,Semi-Urban,238439.54,80095.18097630041
M,18,3301.03,Low,3305.03,Semi-Urban,194010.3,67423.6696791376
F,59,3985.08,Low,3988.08,Semi-Urban,318793.12,107031.7065078462
F,61,931.91,Low,945.91,Semi-Urban,80439.85,23691.27754595587
F,50,1793.18,Low,1783.18,Semi-Urban,159096.92,51851.74713037984
F,65,2846.96,High,2853.96,Rural,242766.39,91340.69905820524
M,18,6986.49,Low,6983.49,Semi-Urban,245202.4,88384.72565207897
M,18,5083.95,Low,5084.95,Rural,45804.28,19736.75438138695
M,18,1350.92,Low,1356.92,Rural,51750.82,17919.610233587624
F,18,1817.15,Low,1811.15,Semi-Urban,40969.24,14729.1331338477
M,18,1676.43,Low,1677.43,Rural,166407.54,56764.51767090322
M,30,3196.26,Low,3185.26,Urban,52631.57,19006.596800153173
F,37,2261.02,Low,2272.02,Semi-Urban,254796.26,85515.84255095942
F,36,4136.42,Low,4133.42,Urban,202169.86,69965.48878115362
M,43,4344.16,Low,4345.16,Urban,141137.19,48888.28004526119
M,57,1255.9,Low,1259.9,Rural,133963.68,42352.62165875586
M,27,1851.63,Low,1840.63,Urban,103358.16,34908.649975812674
M,34,1764.15,Low,1763.15,Urban,166711.05,55551.59088370108
M,44,2741.99,Low,2746.99,Semi-Urban,198939.03,66451.40734080119
M,60,3236.2,Low,3234.2,Urban,127939.8,41975.836212305
M,40,1165.11,Low,1168.11,Urban,32911.41,9521.49544172416
M,18,3531.37,Low,3542.37,Urban,103793.59,37495.73685783282
M,62,3316.63,Low,3330.63,Rural,359930.57,119974.48771159476
F,29,593.32,Low,585.32,Urban,79266.84,25609.02115776816
M,18,2461.84,Low,2470.84,Rural,223364.08,76704.13790811684
F,65,1330.61,High,1328.61,Urban,21013.74,15158.223744737214
F,25,2462.34,Low,2469.34,Semi-Urban,338174.0,114676.5417401446
M,18,1229.64,Low,1229.64,Semi-Urban,75232.7,25404.65315782317
M,23,2048.11,Low,2050.11,Semi-Urban,264088.94,89286.22648682198
M,57,1657.79,Low,1661.79,Urban,55915.38,16408.319608210128
F,18,1672.78,Low,1660.78,Semi-Urban,84516.57,29206.52739244156
F,55,4238.51,Low,4231.51,Semi-Urban,426487.96,143778.19298531415
F,18,5715.26,Low,5709.26,Semi-Urban,396842.23,138257.29990855427
F,45,2801.64,Low,2814.64,Rural,72731.02,24554.59040382376
M,18,3151.99,Low,3157.99,Rural,97154.28,35012.88262241697
F,18,1413.86,Low,1413.86,Semi-Urban,79468.04,27252.03977813401
M,43,1662.38,Low,1679.38,Semi-Urban,85019.15,27165.59179742333
F,40,2370.85,Low,2370.85,Semi-Urban,66630.49,22177.99467882683
F,60,4484.53,Low,4484.53,Urban,370248.52,124884.1513807038
M,29,6338.5,Low,6324.5,Semi-Urban,134334.96,49604.58888603183
F,33,2271.13,,2271.13,Rural,71140.56,45323.05
M,65,1141.59,High,1143.59,Semi-Urban,31823.87,18224.069390426885
M,52,2492.77,Low,2479.77,Rural,65666.43,21062.32962342366
F,60,3378.48,Low,3368.48,Urban,64900.85,21177.97920120619
F,64,1936.96,Low,1930.96,Urban,128324.82,40694.46994193948
M,18,3143.97,Low,3136.97,Urban,125159.29,44267.40064553538
M,39,4925.71,Low,4915.71,Rural,66638.44,24906.554957445835
M,54,1258.1,Low,1256.1,Urban,63648.06,18831.368240186064
M,64,2429.5,Low,2442.5,Urban,256644.88,84075.82113584742
F,18,3133.92,Low,3136.92,Semi-Urban,112587.9,40137.795619593526
F,18,2463.5,Low,2461.5,Rural,85153.92,30510.01494438561
F,57,1357.71,Low,1339.71,Rural,63078.26,18870.497610605908
F,23,2910.59,Low,2920.59,Rural,260531.25,89489.21281664656
F,43,1998.48,Low,1998.48,Rural,68907.55,22600.531425732406
F,18,3131.58,Low,3120.58,Rural,68209.47,25496.709236850584
M,44,2115.72,Low,2125.72,Urban,72616.92,23518.272530501727
M,46,1887.78,Low,1885.78,Urban,80866.03,25891.823637641457
M,18,7060.82,Low,7048.82,Rural,84633.0,34794.6081778057
F,62,3682.27,High,3688.27,Rural,204989.45,79741.91043138906
F,41,3487.03,Low,3483.03,Semi-Urban,34147.64,12326.804093358478
F,52,1287.26,Low,1298.26,Semi-Urban,61221.24,18309.28942468643
M,24,2032.19,Low,2034.19,Rural,411739.26,139064.14255607623
M,38,1733.22,Low,1727.22,Rural,37096.98,11799.87650210684
F,34,3931.85,Low,3936.85,Urban,467487.64,159042.13671441202
F,29,1378.28,Low,1378.28,Rural,208434.2,69942.55482524351
M,55,4157.41,Low,4148.41,Rural,386503.62,130302.42608224676
M,57,3633.78,Low,3626.78,Rural,49288.67,16335.118330436157
F,55,3070.41,Low,3082.41,Semi-Urban,277918.28,92687.0679144762
F,31,2203.76,Low,2195.76,Urban,172772.26,58507.19750283336
M,47,1962.51,Low,1970.51,Urban,241771.98,79944.54838817412
F,57,3844.96,Low,3847.96,Rural,292847.82,98607.01891292474
F,34,938.65,Low,923.65,Semi-Urban,238443.3,78894.51254022047
F,24,3888.56,Low,3874.56,Urban,45471.99,18018.92702868042
M,31,2345.31,Low,2344.31,Rural,63327.4,21793.18953844556
M,28,2808.01,Low,2799.01,Rural,349693.49,118693.4690912104
M,42,2153.77,Low,2142.77,Urban,67300.13,21918.67955438172
M,18,1220.08,Low,1206.08,Urban,83722.58,28377.439974469973
M,41,1590.58,Low,1583.58,Urban,167224.38,54989.73304224571
F,25,1009.75,Low,1022.75,Rural,8290.92,2658.175375383428
F,37,3001.59,Low,2999.59,Urban,308298.72,104376.47088160296
M,44,4231.16,Low,4242.16,Rural,423077.36,143543.79972545325
M,41,2847.65,Low,2847.65,Rural,84152.09,28511.58415779046
F,58,1138.19,Low,1132.19,Urban,14685.72,2179.538446971317
F,65,1574.57,High,1569.57,Rural,21403.04,15674.786764847637
F,18,6212.95,Low,6205.95,Rural,127510.56,48569.58607384918
F,45,2682.51,Low,2670.51,Urban,209369.1,70180.55163985051
F,55,1345.52,Low,1341.52,Semi-Urban,24315.97,5726.93964129813
M,35,4196.61,Low,4186.61,Rural,127027.75,44762.95257354371
F,23,13289.07,Low,13289.07,Semi-Urban,325750.24,121728.77279811136
F,54,2556.35,Low,2543.35,Urban,406461.23,135544.77270285535
M,48,3518.56,Low,3531.56,Rural,191232.4,64620.13424224461
M,21,3224.59,Low,3235.59,Rural,150758.74,52858.76155164569
M,59,1329.64,Low,1316.64,Rural,44058.61,12060.894574457692
F,64,952.56,Low,967.56,Semi-Urban,55782.21,15192.780675660324
F,43,1055.35,Low,1061.35,Semi-Urban,35441.47,10121.799968286468
M,39,5802.75,Low,5793.75,Urban,228791.72,80135.31675004971
F,30,5547.74,Low,5545.74,Urban,101148.15,37949.33797749731
F,60,1325.09,Low,1339.09,Rural,165687.68,53083.96135444855
M,40,1301.21,Low,1298.21,Rural,192604.06,63438.2013516202
M,35,2323.31,Low,2313.31,Urban,52137.73,17553.05600446659
M,50,1405.37,Low,1402.37,Urban,145708.55,46863.006293193015
M,44,1872.06,Low,1875.06,Urban,286337.38,95056.88928850077
F,54,4432.89,Low,4429.89,Urban,180115.26,61436.32910317085
F,18,4308.41,Low,4302.41,Urban,149002.0,53703.98292028666
M,30,2431.81,Low,2418.81,Semi-Urban,221027.06,74652.15169793682
F,47,1747.12,Low,1737.12,Rural,51256.93,16092.905333341558
F,65,2551.14,High,2546.14,Urban,133897.14,54323.677993039935
M,57,1645.67,Low,1631.67,Rural,44849.73,12807.498751593715
M,18,1345.33,Low,1347.33,Rural,126765.38,43110.16926215791
F,60,2708.3,Low,2707.3,Rural,185345.59,61094.0318042493
F,44,2337.43,Low,2332.43,Rural,118243.27,39437.94299910609
F,43,5581.06,Low,5585.06,Rural,171547.37,60743.937921273005
M,26,2683.72,Low,2686.72,Urban,117734.88,40675.08713406032
M,18,3426.23,Low,3436.23,Semi-Urban,101056.16,36330.31342919156
M,53,1413.05,Low,1421.05,Urban,314203.34,103238.6542425566
M,18,3489.14,Low,3499.14,Semi-Urban,215487.03,74833.38929848104
M,53,4211.12,Low,4203.12,Rural,76666.76,26438.02956690357
F,18,6543.8,Low,6542.8,Semi-Urban,129152.2,49186.68347449155
F,18,1521.75,Low,1521.75,Urban,53418.94,18750.01183221828
F,52,5658.56,Low,5667.56,Urban,102412.48,36752.66038126288
F,59,2502.01,Low,2509.01,Rural,113093.6,36695.94675163905
F,38,3288.07,Low,3280.07,Urban,195923.62,66839.04970833304
F,19,2892.94,Low,2895.94,Semi-Urban,80756.7,29119.78088286589
M,52,3770.79,Low,3770.79,Urban,193516.45,65184.35951636832
M,32,3238.08,Low,3236.08,Rural,52136.8,18867.41506020195
M,23,1843.32,Low,1846.32,Semi-Urban,98220.43,33360.041595264884
F,64,1829.88,Low,1834.88,Semi-Urban,110905.21,34601.27188750629
M,61,1152.71,Low,1159.71,Rural,160867.79,50969.63954959942
M,18,1729.39,Low,1734.39,Semi-Urban,127752.99,43560.44604163256
F,46,5147.87,Low,5140.87,Rural,312660.4,107459.65286717076
F,46,2051.32,Low,2057.32,Urban,56860.48,18235.68921247757
M,18,3491.15,Low,3475.15,Urban,196816.38,68688.31316045829
F,32,2282.58,Low,2280.58,Rural,35929.8,12682.543501710905
M,51,2299.12,Low,2301.12,Rural,51561.03,16212.908625089363
F,59,1996.43,Low,1997.43,Urban,70714.39,21802.33115502309
M,18,1230.06,Low,1226.06,Rural,176309.84,59631.83005813915
M,18,1754.34,Low,1742.34,Rural,28438.1,10491.893649862774
M,37,4845.34,Low,4846.34,Rural,31381.73,13145.04210476256
M,57,2129.87,Low,2137.87,Semi-Urban,57443.17,17268.43022666483
F,32,1831.99,Low,1822.99,Urban,39554.28,13297.856254757382
M,35,3461.08,Low,3462.08,Urban,295583.96,100498.71409981218
M,56,2663.76,Low,2669.76,Urban,49331.7,15305.564705863042
M,18,1700.62,Low,1688.62,Urban,53096.94,18582.307672825074
M,29,1707.37,Low,1708.37,Urban,72104.51,24110.57229421405
F,36,1022.78,Low,1021.78,Rural,90113.12,29279.2697151341
M,19,2044.22,Low,2054.2200000000003,Rural,57702.53,20550.738040213422
F,47,3199.15,Low,3192.15,Semi-Urban,53994.35,18223.01974810584
M,42,2122.8,Low,2118.8,Urban,103539.93,34063.98791480021
F,18,1068.53,Low,1084.53,Semi-Urban,118982.55,40180.5158658461
F,28,1667.54,Low,1653.54,Rural,89148.98,30240.90256739508
F,58,993.74,Low,1006.74,Urban,165940.24,52849.812504318
M,56,1020.18,Low,1025.1799999999998,Urban,69303.51,20333.18599076962
M,18,2786.32,Low,2796.32,Semi-Urban,306638.93,104733.77201652518
M,25,2233.3,Low,2235.3,Urban,257521.38,87249.1211240993
M,48,1993.09,Low,1990.09,Rural,98750.14,31986.14448134708
M,18,1150.99,Low,1139.99,Semi-Urban,44808.44,15098.71949746872
M,60,2126.31,Low,2133.31,Rural,231351.45,75720.63652498397
F,30,1400.76,Low,1400.76,Rural,48156.73,16047.247966937066
F,46,1615.74,Low,1612.74,Urban,70592.75,22398.52421065337
F,55,6163.97,Low,6159.97,Semi-Urban,272841.44,94136.83975634724
M,50,3985.92,Low,3988.92,Semi-Urban,206608.96,69824.15824646804
F,47,1951.76,Low,1958.76,Urban,228506.33,75713.25739153841
F,18,2427.95,Low,2444.95,Rural,173078.67,60018.39045364067
F,18,1662.21,Low,1664.21,Urban,46113.97,16440.832089172116
M,45,1491.28,Low,1486.28,Urban,24555.42,6648.522017785333
M,27,1298.15,Low,1312.15,Urban,192029.08,64141.13057325647
M,34,1652.71,Low,1651.71,Semi-Urban,94912.16,31181.63651020082
F,38,1918.64,Low,1930.64,Urban,44039.33,14429.146965463602
F,56,1592.9,Low,1592.9,Rural,43231.68,12532.588105731804
M,53,4803.76,Low,4803.76,Semi-Urban,57992.01,20499.3162485645
F,54,2230.42,Low,2237.42,Rural,100680.4,32644.01258294712
F,26,10474.98,Low,10486.98,Semi-Urban,345814.43,125359.84797009228
M,35,4370.8,Low,4381.8,Urban,58009.09,21629.72020669158
F,24,3013.39,Low,3017.39,Semi-Urban,57146.29,20916.900868333447
M,33,6420.16,Low,6418.16,Semi-Urban,58549.99,23920.692606760746
M,37,3865.25,Low,3851.25,Semi-Urban,205301.82,70281.36452567024
F,57,2485.79,Low,2490.79,Rural,149947.34,49216.177681456
M,33,2899.32,Low,2899.32,Semi-Urban,101219.48,44943.36
M,35,1289.79,Low,1287.79,Rural,28565.15,8719.861032685301
M,20,2499.99,Low,2485.99,Urban,63145.03,22615.74902602275
F,42,2361.98,Low,2347.98,Semi-Urban,48943.33,16062.219218043168
F,60,2497.08,Low,2512.08,Rural,87236.17,27930.058966504253
M,18,2376.54,Low,2388.54,Urban,104136.43,36430.53870337609
M,18,1363.9,Low,1351.9,Urban,67457.76,23061.971370781
F,33,2029.47,Low,2014.47,Rural,59951.87,20407.2840848107
M,59,2713.14,Low,2708.14,Rural,223223.62,73663.4322288619
M,31,1963.98,Low,1964.98,Rural,111789.32,37683.24177852484
M,20,1404.1,Low,1402.1,Urban,43060.02,14754.47618404551
M,52,3251.04,Low,3243.04,Rural,298486.84,100047.51700826168
F,48,4414.98,Low,4413.98,Semi-Urban,204983.36,70109.31036617262
F,18,784.19,Low,786.19,Rural,15314.93,5335.096277432822
F,58,1818.68,Low,1820.68,Rural,76248.73,23697.10727540121
M,53,3675.1,Low,3672.1,Semi-Urban,53221.38,17741.15524082446
M,33,3094.03,Low,3087.03,Semi-Urban,139008.57,47544.02957886134
F,56,1921.6,Low,1936.6,Semi-Urban,225459.14,73813.10305196053
M,59,1834.68,Low,1843.68,Urban,128647.2,40865.06338484746
F,34,1872.26,Low,1871.26,Urban,41461.12,13825.44445266093
M,40,1573.3,Low,1567.3,Urban,45333.72,14107.097278455603
F,29,1856.66,Low,1855.66,Rural,110354.67,37485.08252199748
F,45,1611.95,Low,1619.95,Urban,119230.24,38817.31400443693
M,65,3131.71,High,3148.71,Rural,217668.17,82969.87147103835
F,31,1902.04,Low,1920.04,Semi-Urban,31805.84,10721.734753828816
F,63,4317.76,Low,4307.76,Semi-Urban,60289.26,20214.170120573544
M,51,2600.93,Low,2591.93,Rural,179415.08,59463.660599170486
M,19,2757.64,Low,2752.64,Rural,40529.9,15504.078691655006
M,62,1587.59,Low,1587.59,Semi-Urban,37110.63,9484.350042707803
M,18,3388.14,Low,3383.14,Urban,249825.71,86395.09489997244
M,46,1717.81,Low,1718.81,Semi-Urban,128404.59,41550.48127473432
F,18,3148.91,Low,3143.91,Semi-Urban,43307.77,16876.979358976114
M,42,2357.46,Low,2358.46,Semi-Urban,172577.78,57359.30119278608
M,43,3039.42,Low,3028.42,Semi-Urban,238439.54,80095.1809763004
M,40,1685.46,Low,1685.46,Rural,73222.43,23730.881998947
F,44,3456.59,Low,3470.59,Urban,147515.05,50286.945666191335
M,23,3926.31,Low,3933.31,Rural,370440.43,127209.85193493291
F,18,929.95,Low,923.95,Urban,88598.84,29959.16226845473
M,18,2094.89,Low,2100.89,Semi-Urban,218006.54,74251.98580716364
M,18,1063.81,Low,1058.81,Rural,72468.53,24579.736814989243
F,27,903.46,Low,910.46,Semi-Urban,99421.03,32724.213669539407
M,32,2040.89,Low,2052.89,Rural,60378.53,20418.8832187788
F,18,2037.9,Low,2025.9,Semi-Urban,21902.53,8547.049672950256
M,59,2052.37,Low,2044.37,Rural,203856.46,66480.55774894847
M,29,1923.18,Low,1930.18,Urban,104884.8,35345.62246639788
M,18,2125.9,Low,2121.9,Urban,30059.13,11282.58292441986
M,38,1283.75,Low,1279.75,Urban,60713.89,19136.640957011776
F,56,1370.57,Low,1379.57,Urban,55042.34,16139.328271217284
F,24,2851.37,Low,2840.37,Urban,74149.33,26592.954072432043
M,56,2727.55,Low,2716.55,Semi-Urban,299179.45,99151.19226315813
F,55,3595.25,Low,3610.25,Rural,252338.93,84908.58605302474
M,48,9573.46,Low,9571.46,Rural,549023.7,190990.4457329065
M,18,3033.07,Low,3046.07,Semi-Urban,43208.45,16498.05817305825
F,48,3505.26,Low,3503.26,Rural,57824.9,20021.94180094642
F,57,2739.94,Low,2734.94,Semi-Urban,203435.38,67162.51311503246
F,37,1884.24,Low,1878.24,Semi-Urban,123216.73,40922.67923866202
F,62,3280.16,Low,3290.16,Urban,215978.86,71678.431599526
M,43,1967.21,Low,1962.21,Urban,230313.14,76409.9641719834
F,65,3142.43,High,3135.43,Semi-Urban,55660.42,28508.73211165701
M,38,1591.64,Low,1594.64,Rural,208547.2,69251.95839561385
M,54,1135.57,Low,1134.57,Urban,15693.02,2597.89408993291
F,56,3230.75,Low,3239.75,Urban,205688.03,68645.21280104063
F,61,1820.15,Low,1814.15,Rural,25432.99,6387.566464710799
M,44,2853.92,Low,2859.92,Urban,163011.12,54635.60709481974
F,31,1709.43,Low,1707.43,Semi-Urban,139574.19,46715.27961491394
M,39,1260.95,Low,1266.95,Rural,61894.65,19573.83015562852
F,57,3154.81,Low,3151.81,Rural,189632.55,63226.94893192204
F,65,1903.59,High,1899.59,Semi-Urban,100327.17,42247.602501886446
M,52,2774.55,Low,2761.55,Semi-Urban,106097.1,34655.89855134629
F,59,1144.8,Low,1157.8,Semi-Urban,174370.26,55619.05730333337
F,50,2343.72,Low,2352.72,Rural,127138.44,41964.89645885406
M,24,1763.15,Low,1754.15,Semi-Urban,50588.91,17192.804854081955
M,18,1772.96,Low,1760.96,Rural,90122.03,31231.32996952701
M,53,2464.55,Low,2450.55,Urban,369089.56,122739.58090050916
F,65,632.83,High,631.83,Urban,38868.19,20442.749728214498
F,24,954.22,Low,954.22,Rural,161597.97,54171.58985784823
F,37,978.47,Low,975.47,Rural,121338.85,39642.94182824478
M,22,3884.36,Low,3886.36,Rural,158044.1,55896.946164936926
F,56,1656.2,Low,1653.2,Rural,42484.8,12344.895567953405
M,22,1920.45,Low,1921.45,Semi-Urban,79566.59,27250.938159665056
M,54,1972.06,Low,1965.06,Rural,240723.01,79178.40723024704
F,30,1836.79,Low,1843.79,Rural,66598.05,22691.35810411256
M,60,2506.98,High,2506.98,Rural,182233.97,70815.10247617168
M,18,3021.32,Low,3037.32,Rural,141616.77,49819.87984129238
M,62,2441.33,Low,2427.33,Urban,269800.9,88651.59496529825
M,38,1855.49,Low,1872.49,Rural,49169.66,15992.026075213074
F,18,3216.15,Low,3216.15,Urban,76224.88,28143.421637348547
M,58,1468.98,Low,1471.98,Rural,111113.8,34815.33224527376
F,39,1389.11,Low,1398.11,Semi-Urban,150364.09,49384.97548931055
F,43,1032.04,Low,1041.04,Rural,52483.76,16099.943265601763
F,47,2910.67,Low,2919.67,Semi-Urban,111116.18,37124.14487004599
M,19,1955.65,Low,1947.65,Semi-Urban,82746.82,28587.926204826093
F,62,1233.17,High,1239.17,Urban,186160.92,70774.97760654689
F,62,1576.77,Low,1588.77,Urban,177014.03,56848.88023127829
M,35,3389.24,Low,3388.24,Rural,134252.31,46368.79553542254
M,18,2687.64,Low,2690.64,Rural,83374.94,29907.87576655367
F,27,4095.55,Low,4097.55,Urban,305633.83,105393.03410818469
F,20,1136.54,Low,1136.54,Rural,45188.35,15571.010470628018
F,50,2436.54,Low,2444.54,Urban,23050.59,6957.035513260831
F,40,2889.94,Low,2900.94,Urban,252303.03,85221.98640387013
M,18,2540.82,Low,2533.82,Rural,8569.72,4624.6316362158905
F,18,2147.96,Low,2152.96,Rural,222500.48,76327.34918675802
F,35,943.75,Low,935.75,Semi-Urban,72706.04,23151.001548854183
F,44,1960.25,Low,1957.25,Urban,45441.37,14460.354743000338
F,25,3327.38,Low,3337.38,Urban,66682.13,24503.00512294164
F,59,5438.56,Low,5452.56,Semi-Urban,160206.76,55252.465966283205
F,59,2786.52,Low,2798.52,Semi-Urban,67941.81,21546.654873267267
M,38,2388.89,Low,2386.89,Semi-Urban,72290.7,24018.65607624656
F,62,2538.02,Low,2549.02,Urban,247839.72,81622.52385003402
F,56,2522.04,Low,2523.04,Urban,162163.5,53296.00088906808
M,19,1626.07,Low,1626.07,Rural,357606.69,120859.56860441172
M,33,1883.72,Low,1870.72,Rural,202106.91,67774.60013104585
M,46,2324.63,Low,2326.63,Urban,46118.04,14668.290150112827
M,40,2379.26,Low,2384.26,Semi-Urban,166787.95,55596.97364959929
F,60,981.63,High,977.63,Rural,34761.97,19951.94461784441
M,36,3937.17,Low,3943.17,Rural,184355.14,63683.717074831584
M,62,3353.22,Low,3353.22,Semi-Urban,117794.79,38392.60747909059
M,32,2610.82,Low,2609.82,Urban,65269.94,22500.24048742909
M,64,1159.49,Low,1152.49,Semi-Urban,122135.03,37445.55475879417
M,64,6937.3,Low,6934.3,Rural,229209.91,79599.2182905397
M,25,3337.62,Low,3351.62,Semi-Urban,364280.28,124108.25392771132
F,58,752.85,Low,754.85,Semi-Urban,66177.88,18948.58868515856
F,33,2110.02,Low,2094.02,Rural,31085.9,10792.70236934963
M,53,2010.11,Low,2019.11,Urban,535186.85,178080.7895492582
F,28,3174.55,Low,3178.55,Urban,113453.76,39817.513875615885
M,42,2790.72,Low,2799.72,Urban,140800.29,47269.83399238407
M,62,2993.51,Low,2990.51,Semi-Urban,143189.67,46553.70635581736
M,37,4412.23,Low,4407.23,Urban,233526.89,80464.29659195212
M,52,2834.24,Low,2833.24,Semi-Urban,118940.35,39037.276800708496
M,37,4621.17,Low,4632.17,Urban,196113.16,68118.39351095166
F,62,2933.92,Low,2920.92,Semi-Urban,105842.86,34178.71240985887
M,39,4203.12,Low,4212.12,Semi-Urban,227981.77,78098.87835990403
F,51,998.46,Low,1013.46,Urban,100961.77,31582.3280466957
M,61,3341.8,Low,3338.8,Rural,132437.13,43652.774000065096
F,27,5851.87,Low,5854.87,Rural,189330.93,68259.75296006221
M,62,4245.6,High,4249.6,Rural,275328.44,103708.35143324666
F,48,3425.54,Low,3413.54,Semi-Urban,186032.04,62725.94934743358
F,36,1255.35,Low,1256.35,Rural,183655.37,60940.10800958291
M,18,3464.95,Low,3455.95,Urban,197063.14,68747.9909734246
M,36,3030.34,Low,3027.34,Urban,201993.46,68538.90068698567
M,52,4143.52,Low,4141.52,Urban,40931.43,14309.27386677004
F,42,4231.26,Low,4219.26,Rural,223011.9,76722.19591885887
F,41,1009.01,Low,1007.01,Urban,45343.46,13692.601586265971
M,58,2747.95,Low,2745.95,Semi-Urban,98326.94,31549.59560605375
M,39,1071.26,Low,1071.26,Rural,71091.51,22466.133856893404
F,31,1384.9,Low,1393.9,Semi-Urban,125981.58,41823.128752778735
F,65,801.89,High,795.89,Semi-Urban,202478.34,75433.87824114111
M,18,1901.24,Low,1907.24,Urban,105837.9,36512.99697538975
M,56,2741.44,Low,2746.44,Rural,172818.57,57003.119390216285
F,36,2346.81,Low,2347.81,Rural,79122.6,26942.32983670836
M,63,3104.01,High,3102.01,Rural,291143.41,107771.2874347441
M,24,2292.24,Low,2300.24,Rural,47714.74,17052.778000061866
M,31,1675.74,Low,1662.74,Rural,74901.99,24990.43233735925
F,44,1905.53,Low,1911.53,Semi-Urban,77916.16,25179.82214889544
F,40,951.64,Low,942.64,Semi-Urban,217236.25,71312.51820026728
F,61,1523.72,Low,1527.72,Urban,59790.35,17492.7627114619
M,22,2911.94,Low,2909.94,Urban,105776.41,37205.32202301289
M,55,5996.84,Low,5984.84,Semi-Urban,250677.07,86280.25500787859
M,32,3199.17,Low,3208.17,Rural,110057.45,38289.51562122389
M,65,2820.73,High,2813.73,Rural,504924.23,179132.4775505021
M,29,5604.86,Low,5593.86,Semi-Urban,59349.75,23667.476553889926
F,33,2443.38,Low,2431.38,Rural,61832.14,21463.668369287603
M,23,1880.8,Low,1882.8,Rural,249667.12,84546.40406383428
F,45,4767.36,Low,4783.36,Urban,61489.18,22652.037253555765
F,60,2521.29,High,2520.29,Urban,161888.59,64093.40321216195
F,18,6795.91,Low,6807.91,Urban,53768.42,24266.644243769868
F,29,1752.16,Low,1750.16,Rural,106228.11,35991.55193477425
M,27,3852.06,Low,3856.06,Rural,193363.68,67333.69645375316
F,53,4219.9,Low,4216.9,Rural,207535.32,70646.24374842989
F,45,2197.05,Low,2193.05,Rural,138027.15,45861.45318791456
M,38,2604.9,Low,2597.9,Rural,122176.22,41269.87420383484
F,64,3539.8,Low,3538.8,Urban,127769.32,42149.41410907993
F,35,2673.02,Low,2674.02,Urban,55943.85,19431.10846128716
M,18,4893.24,Low,4879.24,Urban,379930.66,131633.40112709018
F,57,1424.17,Low,1427.17,Urban,36631.14,9927.413508620297
M,28,3237.17,Low,3233.17,Rural,218171.4,74954.96415267725
F,35,1560.39,Low,1548.39,Rural,244946.9,81913.07072019015
F,52,4714.57,Low,4703.57,Urban,252886.3,86323.1767100108
M,18,6184.76,Low,6173.76,Semi-Urban,327013.65,115042.2374784426
F,46,2675.23,Low,2672.23,Rural,55993.14,18715.582232237884
F,63,1250.48,High,1253.48,Semi-Urban,47400.27,23962.75238879105
M,27,1272.7,Low,1273.7,Rural,54982.91,18210.81780647494
M,54,3292.2,Low,3294.2,Urban,101721.55,33702.74325941093
